sep=,
BucketOwner,Bucket,Time,RemoteIP,Requester,RequestId,Operation,Key,Request-URI,HttpStatus,ErrorCode,BytesSent,ObjectSize,TotalTime,Turn-AroundTime,Referrer,User-Agent,VersionId
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,D75A2C2198149547,REST.GET.BUCKETPOLICY,-,"GET /bucket-aws-cli-lab-inline-bucket?policy",200,-,-,0,1,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,9195620424520589,REST.GET.PUBLICACCESS,-,"GET /bucket-aws-cli-lab-inline-bucket/?publicAccess",200,-,-,0,2,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,B054ECC6B3F6A51C,REST.GET.BUCKETACL,-,"GET /bucket-aws-cli-lab-inline-bucket?acl",200,-,-,0,2,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,8B539DADCC8CEC04,REST.GET.OBJECTLOCKING,-,"GET /bucket-aws-cli-lab-inline-bucket?object-lock",404,ObjectLockConfigurationNotFoundError,-,0,9,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,FF30AFC1585961A7,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,4,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:37:18 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,CB20AD4300CB6A55,REST.GET.VERSIONING,-,"GET /bucket-aws-cli-lab-inline-bucket?versioning",200,-,-,0,1,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:58 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,B696A58EE0C54A9E,REST.GET.BUCKET,-,"GET /bucket-aws-cli-lab-inline-bucket?list-type=2&delimiter=%2F&encoding-type=url&max-keys=300",200,-,-,0,19,6,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:58 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,057CD77A9DD6EAD7,REST.GET.OBJECTLOCKING,-,"GET /bucket-aws-cli-lab-inline-bucket?object-lock",404,ObjectLockConfigurationNotFoundError,-,0,1,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:58 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,402B0F3EC2C5F453,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,1,1,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:58 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,4C4C95F3EE505F19,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,1,1,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:59 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,882946209EDC32B3,REST.GET.VERSIONING,-,"GET /bucket-aws-cli-lab-inline-bucket?versioning",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:59 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,1CDC607D44C0FA5F,REST.GET.OBJECTLOCKING,-,"GET /bucket-aws-cli-lab-inline-bucket?object-lock",404,ObjectLockConfigurationNotFoundError,-,0,1,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:59 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,92B7ACDED70782E8,REST.GET.COMPLIANCE,-,"GET /bucket-aws-cli-lab-inline-bucket?compliance",200,-,-,0,0,0,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
AFA702658F7A23D02748BB10A9EB2EAAD4A3842C42FF145B7E87FB17D2C012FB,bucket-aws-cli-lab-inline-bucket,18/Apr/2022:16:38:59 +0000,24.218.56.157,Y8EHTOV59RHDAQEDN5PRQ,7FD4200860980ECB,REST.GET.VERSIONING,-,"GET /bucket-aws-cli-lab-inline-bucket?versioning",200,-,-,0,1,1,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36",-
